,date,time,current_team,opponent,game_result,team_score,opp_score,spread_result,spread,ou_result,ou_line,year
0,2021-09-12,1:00,BUF,PIT,L,16,23,L,-6.5,U,48.5,2021
1,2021-09-19,1:00,BUF,MIA,W,35,0,W,-3.5,U,47.5,2021
2,2021-09-26,1:00,BUF,WAS,W,43,21,W,-7.0,O,45.5,2021
3,2021-10-3,1:00,BUF,HOU,W,40,0,W,-17.5,U,47,2021
4,2021-10-10,8:20,BUF,KAN,W,38,20,W,2.5,O,56.5,2021
5,2021-10-18,8:15,BUF,TEN,L,31,34,L,-6.0,O,53.5,2021
6,2021-10-31,1:00,BUF,MIA,W,26,11,W,-14.0,U,49,2021
7,2021-11-7,1:00,BUF,JAX,L,6,9,L,-14.5,U,48.5,2021
8,2021-11-14,1:00,BUF,NYJ,W,45,17,W,-13.0,O,47.5,2021
9,2021-11-21,1:00,BUF,IND,L,15,41,L,-7.0,O,49.5,2021
10,2021-11-25,8:20,BUF,NOS,W,31,6,W,-6.5,U,45,2021
11,2021-12-6,8:15,BUF,NWE,L,10,14,L,-2.5,U,41,2021
12,2021-12-12,4:25,BUF,TBB,L,27,33,L,3.5,O,54.5,2021
13,2021-12-19,1:00,BUF,CAR,W,31,14,W,-14.5,O,43,2021
14,2021-12-26,1:00,BUF,NWE,W,33,21,W,1.5,O,43.5,2021
15,2022-01-2,1:00,BUF,ATL,W,29,15,L,-14.5,P,44,2022
16,2022-01-9,1:00,BUF,NYJ,W,27,10,W,-16.5,U,40.5,2022
17,2022-01-15,8:15,BUF,NWE,W,47,17,W,-4.0,O,44,2022
18,2022-01-23,6:30,BUF,KAN,L,36,42,L,2.0,O,54.5,2022
19,2020-09-13,1:00,BUF,NYJ,W,27,17,W,-6.5,O,39.5,2020
20,2020-09-20,1:00,BUF,MIA,W,31,28,L,-5.5,O,42.5,2020
21,2020-09-27,1:00,BUF,LAR,W,35,32,W,-1.5,O,46.5,2020
22,2020-10-4,4:25,BUF,LVR,W,30,23,W,-3.0,P,53,2020
23,2020-10-13,7:00,BUF,TEN,L,16,42,L,-3.0,O,52,2020
24,2020-10-19,5:00,BUF,KAN,L,17,26,L,5.5,U,55,2020
25,2020-10-25,1:00,BUF,NYJ,W,18,10,L,-9.5,U,47,2020
26,2020-11-1,1:00,BUF,NWE,W,24,21,L,-4.0,O,41,2020
27,2020-11-8,1:00,BUF,SEA,W,44,34,W,3.0,O,55.5,2020
28,2020-11-15,4:04,BUF,ARI,L,30,32,W,3.0,O,56,2020
29,2020-11-29,1:00,BUF,LAC,W,27,17,W,-4.5,U,51.5,2020
30,2020-12-7,8:15,BUF,SFF,W,34,24,W,1.5,O,48,2020
31,2020-12-13,8:20,BUF,PIT,W,26,15,W,-2.0,U,48.5,2020
32,2020-12-19,4:30,BUF,DEN,W,48,19,W,-5.5,O,49,2020
33,2020-12-28,8:15,BUF,NWE,W,38,9,W,-7.0,U,47.5,2020
34,2021-01-3,1:00,BUF,MIA,W,56,26,W,3.5,O,43,2021
35,2021-01-9,1:05,BUF,IND,W,27,24,L,-7.0,O,50.5,2021
36,2021-01-16,8:15,BUF,BAL,W,17,3,W,-2.5,U,49.5,2021
37,2021-01-24,6:40,BUF,KAN,L,24,38,L,3.0,O,55,2021
38,2019-09-8,1:00,BUF,NYJ,W,17,16,W,2.5,U,41,2019
39,2019-09-15,1:00,BUF,NYG,W,28,14,W,-1.0,U,44.5,2019
40,2019-09-22,1:00,BUF,CIN,W,21,17,L,-5.5,U,43.5,2019
41,2019-09-29,1:00,BUF,NWE,L,10,16,W,7.0,U,41.5,2019
42,2019-10-6,1:00,BUF,TEN,W,14,7,W,3.5,U,39.5,2019
43,2019-10-20,1:00,BUF,MIA,W,31,21,L,-17.0,O,42.5,2019
44,2019-10-27,1:00,BUF,PHI,L,13,31,L,-1.0,O,39.5,2019
45,2019-11-3,1:00,BUF,WAS,W,24,9,W,-10.5,U,37,2019
46,2019-11-10,1:00,BUF,CLE,L,16,19,P,3.0,U,42,2019
47,2019-11-17,1:00,BUF,MIA,W,37,20,W,-7.0,O,41.5,2019
48,2019-11-24,1:00,BUF,DEN,W,20,3,W,-3.5,U,37,2019
49,2019-11-28,4:30,BUF,DAL,W,26,15,W,6.5,U,46.5,2019
50,2019-12-8,1:00,BUF,BAL,L,17,24,L,6.5,U,44,2019
51,2019-12-15,8:20,BUF,PIT,W,17,10,W,1.0,U,37,2019
52,2019-12-21,4:30,BUF,NWE,L,17,24,P,7.0,O,38.5,2019
53,2019-12-29,1:00,BUF,NYJ,L,6,13,L,1.5,U,37,2019
54,2020-01-4,4:35,BUF,HOU,L,19,22,L,2.5,U,43,2020
55,2018-09-9,1:00,BUF,BAL,L,3,47,L,7.5,O,39,2018
56,2018-09-16,1:00,BUF,LAC,L,20,31,L,7.5,O,41.5,2018
57,2018-09-23,1:00,BUF,MIN,W,27,6,W,16.5,U,41,2018
58,2018-09-30,1:00,BUF,GBP,L,0,22,L,8.5,U,43.5,2018
59,2018-10-7,1:00,BUF,TEN,W,13,12,W,6.0,U,38.5,2018
60,2018-10-14,1:00,BUF,HOU,L,13,20,W,10.5,U,40.5,2018
61,2018-10-21,1:00,BUF,IND,L,5,37,L,7.0,U,43.5,2018
62,2018-10-29,8:15,BUF,NWE,L,6,25,L,13.5,U,44.5,2018
63,2018-11-4,1:00,BUF,CHI,L,9,41,L,10.5,O,38,2018
64,2018-11-11,1:00,BUF,NYJ,W,41,10,W,7.0,O,38,2018
65,2018-11-25,1:00,BUF,JAX,W,24,21,W,3.0,O,36.5,2018
66,2018-12-2,1:00,BUF,MIA,L,17,21,L,3.5,U,40,2018
67,2018-12-9,1:00,BUF,NYJ,L,23,27,L,-4.5,O,37,2018
68,2018-12-16,1:00,BUF,DET,W,14,13,L,-2.5,U,40,2018
69,2018-12-23,1:00,BUF,NWE,L,12,24,W,13.5,U,45,2018
70,2018-12-30,1:00,BUF,MIA,W,42,17,W,-5.5,O,39.5,2018
71,2017-09-10,1:00,BUF,NYJ,W,21,12,W,-7.0,U,42,2017
72,2017-09-17,1:00,BUF,CAR,L,3,9,W,6.5,U,43,2017
